URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime,Communities and Crime,Multivariate,Regression,Real,1994,128,2009,"Communities within the United States. The data combines socio-economic data from the 1990 US Census, law enforcement data from the 1990 US LEMAS survey, and crime data from the 1995 FBI UCR."
http://archive.ics.uci.edu/ml/datasets/Communities+and+Crime+Unnormalized,Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147,2011,"Communities in the US. Data combines socio-economic data from the '90 Census, law enforcement data from the 1990 Law Enforcement Management and Admin Stats survey, and crime data from the 1995 FBI UCR"
http://archive.ics.uci.edu/ml/datasets/Computer+Hardware,Computer Hardware,Multivariate,Regression,Integer,209,9,1987,"Relative CPU Performance Data, described in terms of its cycle time, memory size, etc."
http://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength,Concrete Compressive Strength,Multivariate,Regression,Real,1030,9,2007,Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients.
http://archive.ics.uci.edu/ml/datasets/Concrete+Slump+Test,Concrete Slump Test,Multivariate,Regression,Real,103,10,2009,"Concrete is a highly complex material. The slump flow of concrete is not only determined by the water content, but that is also influenced by other concrete ingredients."
http://archive.ics.uci.edu/ml/datasets/Condition+Based+Maintenance+of+Naval+Propulsion+Plants,Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934,16,2014,"Data have been generated from a sophisticated simulator of a Gas Turbines (GT), mounted on a Frigate characterized by a COmbined Diesel eLectric And Gas (CODLAG) propulsion plant type."
http://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems,Condition monitoring of hydraulic systems,"Multivariate, Time-Series","Classification, Regression",Real,2205,43680,2018,The data set addresses the condition assessment of a hydraulic test rig based on multi sensor data. Four fault types are superimposed with several severity grades impeding selective quantification.
http://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987,1984 United Stated Congressional Voting Records; Classify as Republican or Democrat
http://archive.ics.uci.edu/ml/datasets/Connect-4,Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995,Contains connect-4 positions
http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29,Connectionist Bench (Nettalk Corpus),Multivariate,,Categorical,20008,4,,"The file ""nettalk.data"" contains a list of 20,008 English words, along with a phonetic transcription for each word. The task is to train a network to produce the proper phonemes"
http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Sonar%2C+Mines+vs.+Rocks%29,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,,The task is to train a network to discriminate between sonar signals bounced off a metal cylinder and those bounced off a roughly cylindrical rock.
http://archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Vowel+Recognition+-+Deterding+Data%29,Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10,,Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.
http://archive.ics.uci.edu/ml/datasets/Container+Crane+Controller+Data+Set,Container Crane Controller Data Set,"Univariate, Domain-Theory","Classification, Regression",Real,15,3,2018,A container crane has the function of transporting containers from one point to another point.
http://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997,Dataset is a subset of the 1987 National Indonesia Contraceptive Prevalence Survey.
http://archive.ics.uci.edu/ml/datasets/Corel+Image+Features,Corel Image Features,Multivariate,,Real,68040,89,1999,"This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence"
http://archive.ics.uci.edu/ml/datasets/Covertype,Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998,Forest CoverType dataset
http://archive.ics.uci.edu/ml/datasets/Credit+Approval,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,,This data concerns credit card applications; good mix of attributes
http://archive.ics.uci.edu/ml/datasets/Crop+mapping+using+fused+optical-radar+data+set,Crop mapping using fused optical-radar data set,"Multivariate, Time-Series",Classification,Real,325834,175,2020,"Combining optical and PolSAR remote sensing images offers a complementary data set with a significant number of temporal, spectral, textural, and polarimetric features for cropland classification."
http://archive.ics.uci.edu/ml/datasets/Crowdsourced+Mapping,Crowdsourced Mapping,Multivariate,Classification,,10546,29,2016,"Crowdsourced data from OpenStreetMap is used to automate the classification of satellite images into different land cover classes (impervious, farm, forest, grass, orchard, water)."
http://archive.ics.uci.edu/ml/datasets/Cryotherapy+Dataset+,Cryotherapy Dataset ,Univariate,Classification,"Integer, Real",90,7,2018,This dataset contains information about wart treatment results of 90 patients using cryotherapy.
http://archive.ics.uci.edu/ml/datasets/CSM+%28Conventional+and+Social+Media+Movies%29+Dataset+2014+and+2015,CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate,"Classification, Regression",Integer,217,12,2017,"12 features categorized as conventional and social media features. Both conventional features, collected from movies databases on Web as well as social media features(YouTube,Twitter)."
